course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
CIS 621,621,"Jiao, Lei",11,1,2,4,1,3,0,0,0,0,0,0,0,0,7,4,0,0,0,3.555
CIS 621,621,"Wilson, Christopher",108,9,51,19,11,9,9,0,0,0,0,0,0,0,79,29,0,0,0,3.684
CIS 624,624,"Norris, Boyana Radenska",91,33,39,7,2,7,2,0,0,1,0,0,0,0,79,11,1,0,0,3.831
CIS 630,630,"Durairajan, Ramakrishnan",11,0,3,1,1,4,1,0,0,0,0,0,1,0,4,6,0,1,0,3.127
CIS 630,630,"Rejaie, Reza",75,4,10,13,12,7,23,2,2,1,0,1,0,0,27,42,5,1,0,3.175
CIS 631,631,"Choi, Jee Whan",28,4,3,4,6,7,2,0,1,1,0,0,0,0,11,15,2,0,0,3.311
CIS 631,631,"Malony, Allen",14,0,4,3,3,3,0,0,0,0,0,1,0,0,7,6,0,1,0,3.357
CIS 650,650,"Fickas, Stephen F",27,14,7,6,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,3.933
CIS 670,670,"Lowd, Daniel Baruch",55,0,29,15,5,1,1,0,1,0,0,0,0,3,44,7,1,0,3,3.558
CS 102,102,"Carrere, Daniel Austin",659,214,156,111,53,30,32,13,10,14,2,4,4,16,481,115,37,10,16,3.528
CS 102,102,"Lei, Yongjia",144,88,21,15,7,6,4,0,2,0,0,0,1,0,124,17,2,1,0,3.806
CS 102,102,"Li, Yingjiu",117,7,13,31,17,15,17,8,5,2,0,1,0,1,51,49,15,1,1,3.201
CS 110,110,"Childs, Henry Roberts",175,8,41,22,26,25,15,9,11,3,3,3,3,6,71,66,23,9,6,3.06
CS 110,110,"Flores, Juan Jose",349,12,55,53,37,43,44,29,15,22,7,9,3,20,120,124,66,19,20,2.832
CS 110,110,"Hall, Jared Wayne",146,49,61,11,4,6,1,1,5,0,0,1,2,5,121,11,6,3,5,3.625
